X,Y
0,0
0,15.25
10.17,15.25
10.17,0
0,0
20.34,0
20.34,15.25
0,15.25
0,0
30.5,0
30.5,15.25
0,15.25
,
9.00086E-16,2.725
0.155466874,2.727466942
0.310777206,2.734865285
0.465774612,2.747187579
0.620303023,2.764421417
0.77420684,2.786549445
0.927331097,2.813549383
1.079521611,2.845394044
1.230625137,2.882051363
1.380489529,2.923484429
1.528963884,2.969651523
1.675898702,3.020506158
1.821146033,3.075997128
1.964559623,3.136068559
2.105995069,3.200659962
2.245309956,3.269706302
2.382364007,3.343138052
2.517019219,3.420881275
2.649140006,3.502857689
2.778593333,3.588984751
2.905248852,3.679175738
3.028979032,3.773339836
3.149659287,3.871382229
3.267168103,3.973204197
3.381387156,4.078703213
3.49220144,4.18777305
3.599499372,4.300303883
3.703172914,4.416182404
3.803117675,4.535291931
3.899233019,4.657512533
3.991422165,4.782721143
4.079592288,4.910791687
4.163654607,5.041595209
4.243524479,5.175
4.319121481,5.310871734
4.390369494,5.449073598
4.457196777,5.589466436
4.519536041,5.731908884
4.577324515,5.876257514
4.630504012,6.02236698
4.679020983,6.170090161
4.722826577,6.319278313
4.761876685,6.469781216
4.796131986,6.621447326
4.82555799,6.774123929
4.850125065,6.927657292
4.869808476,7.08189282
4.884588402,7.236675211
4.894449962,7.391848612
4.899383226,7.547256777
4.899383226,7.702743223
4.894449962,7.858151388
4.884588402,8.013324789
4.869808476,8.16810718
4.850125065,8.322342708
4.82555799,8.475876071
4.796131986,8.628552674
4.761876685,8.780218784
4.722826577,8.930721687
4.679020983,9.079909839
4.630504012,9.22763302
4.577324515,9.373742486
4.519536041,9.518091116
4.457196777,9.660533564
4.390369494,9.800926402
4.319121481,9.939128266
4.243524479,10.075
4.163654607,10.20840479
4.079592288,10.33920831
3.991422165,10.46727886
3.899233019,10.59248747
3.803117675,10.71470807
3.703172914,10.8338176
3.599499372,10.94969612
3.49220144,11.06222695
3.381387156,11.17129679
3.267168103,11.2767958
3.149659287,11.37861777
3.028979032,11.47666016
2.905248852,11.57082426
2.778593333,11.66101525
2.649140006,11.74714231
2.517019219,11.82911872
2.382364007,11.90686195
2.245309956,11.9802937
2.105995069,12.04934004
1.964559623,12.11393144
1.821146033,12.17400287
1.675898702,12.22949384
1.528963884,12.28034848
1.380489529,12.32651557
1.230625137,12.36794864
1.079521611,12.40460596
0.927331097,12.43645062
0.77420684,12.46345055
0.620303023,12.48557858
0.465774612,12.50281242
0.310777206,12.51513471
0.155466874,12.52253306
1.50014E-15,12.525
,
30.5,2.725
30.34453313,2.727466942
30.18922279,2.734865285
30.03422539,2.747187579
29.87969698,2.764421417
29.72579316,2.786549445
29.5726689,2.813549383
29.42047839,2.845394044
29.26937486,2.882051363
29.11951047,2.923484429
28.97103612,2.969651523
28.8241013,3.020506158
28.67885397,3.075997128
28.53544038,3.136068559
28.39400493,3.200659962
28.25469004,3.269706302
28.11763599,3.343138052
27.98298078,3.420881275
27.85085999,3.502857689
27.72140667,3.588984751
27.59475115,3.679175738
27.47102097,3.773339836
27.35034071,3.871382229
27.2328319,3.973204197
27.11861284,4.078703213
27.00779856,4.18777305
26.90050063,4.300303883
26.79682709,4.416182404
26.69688232,4.535291931
26.60076698,4.657512533
26.50857783,4.782721143
26.42040771,4.910791687
26.33634539,5.041595209
26.25647552,5.175
26.18087852,5.310871734
26.10963051,5.449073598
26.04280322,5.589466436
25.98046396,5.731908884
25.92267548,5.876257514
25.86949599,6.02236698
25.82097902,6.170090161
25.77717342,6.319278313
25.73812332,6.469781216
25.70386801,6.621447326
25.67444201,6.774123929
25.64987493,6.927657292
25.63019152,7.08189282
25.6154116,7.236675211
25.60555004,7.391848612
25.60061677,7.547256777
25.60061677,7.702743223
25.60555004,7.858151388
25.6154116,8.013324789
25.63019152,8.16810718
25.64987493,8.322342708
25.67444201,8.475876071
25.70386801,8.628552674
25.73812332,8.780218784
25.77717342,8.930721687
25.82097902,9.079909839
25.86949599,9.22763302
25.92267548,9.373742486
25.98046396,9.518091116
26.04280322,9.660533564
26.10963051,9.800926402
26.18087852,9.939128266
26.25647552,10.075
26.33634539,10.20840479
26.42040771,10.33920831
26.50857783,10.46727886
26.60076698,10.59248747
26.69688232,10.71470807
26.79682709,10.8338176
26.90050063,10.94969612
27.00779856,11.06222695
27.11861284,11.17129679
27.2328319,11.2767958
27.35034071,11.37861777
27.47102097,11.47666016
27.59475115,11.57082426
27.72140667,11.66101525
27.85085999,11.74714231
27.98298078,11.82911872
28.11763599,11.90686195
28.25469004,11.9802937
28.39400493,12.04934004
28.53544038,12.11393144
28.67885397,12.17400287
28.8241013,12.22949384
28.97103612,12.28034848
29.11951047,12.32651557
29.26937486,12.36794864
29.42047839,12.40460596
29.5726689,12.43645062
29.72579316,12.46345055
29.87969698,12.48557858
30.03422539,12.50281242
30.18922279,12.51513471
30.34453313,12.52253306
30.5,12.525
,
15.7,7.625
15.699094,7.653540764
15.69637967,7.681966604
15.69186791,7.71016306
15.68557692,7.738016594
15.677532,7.765415051
15.66776557,7.792248105
15.65631694,7.81840771
15.64323222,7.843788531
15.62856409,7.868288368
15.61237162,7.891808568
15.59472,7.914254424
15.57568032,7.935535555
15.55532924,7.955566269
15.5337487,7.974265909
15.51102561,7.991559178
15.48725146,8.007376443
15.46252198,8.021654014
15.43693676,8.034334398
15.4105988,8.045366537
15.38361417,8.054706009
15.35609152,8.062315206
15.32814168,8.068163489
15.29987719,8.072227309
15.27141186,8.074490303
15.24286032,8.074943357
15.21433752,8.073584649
15.18595832,8.070419649
15.157837,8.065461101
15.13008678,8.058728971
15.10281942,8.050250368
15.07614469,8.040059432
15.05017002,8.028197198
15.025,8.014711432
15.00073597,7.999656435
14.97747564,7.983092828
14.95531267,7.965087308
14.9343363,7.945712377
14.914631,7.92504605
14.89627611,7.903171544
14.87934554,7.880176939
14.86390746,7.856154826
14.85002405,7.831201935
14.83775119,7.805418741
14.82713832,7.778909064
14.81822816,7.751779651
14.8110566,7.72413974
14.8056525,7.696100628
14.80203763,7.667775219
14.80022656,7.63927757
14.80022656,7.61072243
14.80203763,7.582224781
14.8056525,7.553899372
14.8110566,7.52586026
14.81822816,7.498220349
14.82713832,7.471090936
14.83775119,7.444581259
14.85002405,7.418798065
14.86390746,7.393845174
14.87934554,7.369823061
14.89627611,7.346828456
14.914631,7.32495395
14.9343363,7.304287623
14.95531267,7.284912692
14.97747564,7.266907172
15.00073597,7.250343565
15.025,7.235288568
15.05017002,7.221802802
15.07614469,7.209940568
15.10281942,7.199749632
15.13008678,7.191271029
15.157837,7.184538899
15.18595832,7.179580351
15.21433752,7.176415351
15.24286032,7.175056643
15.27141186,7.175509697
15.29987719,7.177772691
15.32814168,7.181836511
15.35609152,7.187684794
15.38361417,7.195293991
15.4105988,7.204633463
15.43693676,7.215665602
15.46252198,7.228345986
15.48725146,7.242623557
15.51102561,7.258440822
15.5337487,7.275734091
15.55532924,7.294433731
15.57568032,7.314464445
15.59472,7.335745576
15.61237162,7.358191432
15.62856409,7.381711632
15.64323222,7.406211469
15.65631694,7.43159229
15.66776557,7.457751895
15.677532,7.484584949
15.68557692,7.511983406
15.69186791,7.53983694
15.69637967,7.568033396
15.699094,7.596459236
15.7,7.625
